quarter,Q0_TOTAL_ASSETS,Q0_TOTAL_LIABILITIES,Q0_TOTAL_STOCKHOLDERS_EQUITY,Q0_GROSS_PROFIT,Q0_COST_OF_REVENUES,Q0_REVENUES,Q0_OPERATING_INCOME,Q0_OPERATING_EXPENSES,Q0_EBITDA
Q1,0.6598905384419672,0.8125836657016787,0.3083244887203521,0.9920054514246518,0.982598430667846,0.9871442367819045,0.8861493122130955,0.9915620129103707,0.9795400865702305
Q2,0.6184675383104203,0.6787110879900973,0.32835444867378916,0.962101934402416,0.9460378804890991,0.9633901705316495,0.8345769073555045,0.9912453060935085,0.9383319930540293
Q3,-0.865955283821273,-0.8804509693441742,-0.81932574044823,0.9210373257110354,0.782611148727081,0.8764694467920472,0.5627027044994019,0.9520721332243074,0.8871333947175238
Q4,0.7597154806342453,0.9286532901259774,0.3487863701041973,0.7943377190294616,0.9302687068672219,0.8654416405691436,0.3083908136223723,0.9602748416717674,0.7370591776458715
Q5,0.6526930744171069,0.8134486051150698,0.26743440049670936,0.9554116873040699,0.9509618296279071,0.956958526910135,0.6597042157460533,0.976077061516806,0.9229044570731225
Q6,0.7097274586944381,0.8690384129652378,0.3340074427516941,0.8301815740481601,0.7284537639226846,0.7596667315733431,0.6251827027065936,0.8658381940784818,0.8910754066947354
Q7,-0.838462697627906,-0.8453888332796383,-0.8008817449077182,0.7038515696118893,0.7531204567283304,0.8121478024019666,0.663425353814192,-0.12968794721493626,-0.3161244971631938
Q8,0.7149515885818307,0.8645917642750207,0.3406108203459858,0.8296839411912174,0.9072433280862028,0.8616486813775691,0.49421267484502235,0.9142638401605206,0.75766692598152
Q9,0.7186000773895249,0.8634248182374871,0.3502473719443126,0.7878355965517551,0.8178547258651762,0.7875746121512949,0.6903842709237203,0.9083280617454256,0.8923945767248395
Q10,0.7183107619269308,0.8614666816315661,0.3529822311208128,0.7261701394194063,0.720120725873005,0.7110602458995324,0.7356363175446933,0.8020480371393172,0.8811335612547293
