metadata_column,target,n_obs,pearson_corr,abs_corr
fullTimeEmployees,Q0_TOTAL_ASSETS,1544,0.3251173330788832,0.3251173330788832
fullTimeEmployees,Q0_TOTAL_LIABILITIES,1544,0.33378039478288773,0.33378039478288773
fullTimeEmployees,Q0_TOTAL_STOCKHOLDERS_EQUITY,1544,0.22249953849311824,0.22249953849311824
fullTimeEmployees,Q0_GROSS_PROFIT,1544,0.5313374110202248,0.5313374110202248
fullTimeEmployees,Q0_COST_OF_REVENUES,1544,0.4782936075886431,0.4782936075886431
fullTimeEmployees,Q0_REVENUES,1544,0.5911208494143424,0.5911208494143424
fullTimeEmployees,Q0_OPERATING_INCOME,1544,0.3918638065015012,0.3918638065015012
fullTimeEmployees,Q0_OPERATING_EXPENSES,1544,0.5106550052937281,0.5106550052937281
fullTimeEmployees,Q0_EBITDA,1544,0.11966524728445557,0.11966524728445557
auditRisk,Q0_TOTAL_ASSETS,1131,-0.044993299662300465,0.044993299662300465
auditRisk,Q0_TOTAL_LIABILITIES,1131,-0.046472676518603075,0.046472676518603075
auditRisk,Q0_TOTAL_STOCKHOLDERS_EQUITY,1131,-0.03445413777531777,0.03445413777531777
auditRisk,Q0_GROSS_PROFIT,1131,-0.05372853250072341,0.05372853250072341
auditRisk,Q0_COST_OF_REVENUES,1131,-0.04208087941505252,0.04208087941505252
auditRisk,Q0_REVENUES,1131,-0.05442566926133171,0.05442566926133171
auditRisk,Q0_OPERATING_INCOME,1131,-0.03372720224828343,0.03372720224828343
auditRisk,Q0_OPERATING_EXPENSES,1131,-0.05772741849833913,0.05772741849833913
auditRisk,Q0_EBITDA,1131,-0.005295934502525037,0.005295934502525037
boardRisk,Q0_TOTAL_ASSETS,1131,-0.0037973339131765166,0.0037973339131765166
boardRisk,Q0_TOTAL_LIABILITIES,1131,-0.009784560646636718,0.009784560646636718
boardRisk,Q0_TOTAL_STOCKHOLDERS_EQUITY,1131,0.024456811621867695,0.024456811621867695
boardRisk,Q0_GROSS_PROFIT,1131,-0.028542822815857703,0.028542822815857703
boardRisk,Q0_COST_OF_REVENUES,1131,-0.03549238976247919,0.03549238976247919
boardRisk,Q0_REVENUES,1131,-0.03894274359889929,0.03894274359889929
boardRisk,Q0_OPERATING_INCOME,1131,0.0008509405921608085,0.0008509405921608085
boardRisk,Q0_OPERATING_EXPENSES,1131,-0.01252171766792913,0.01252171766792913
boardRisk,Q0_EBITDA,1131,-0.022049521370853385,0.022049521370853385
compensationRisk,Q0_TOTAL_ASSETS,1131,-0.04758352255144162,0.04758352255144162
compensationRisk,Q0_TOTAL_LIABILITIES,1131,-0.0369888877936375,0.0369888877936375
compensationRisk,Q0_TOTAL_STOCKHOLDERS_EQUITY,1131,-0.03147786757804416,0.03147786757804416
compensationRisk,Q0_GROSS_PROFIT,1131,-0.0415357841084291,0.0415357841084291
compensationRisk,Q0_COST_OF_REVENUES,1131,-0.027626051237909253,0.027626051237909253
compensationRisk,Q0_REVENUES,1131,-0.04104301946871789,0.04104301946871789
compensationRisk,Q0_OPERATING_INCOME,1131,-0.09195219089962606,0.09195219089962606
compensationRisk,Q0_OPERATING_EXPENSES,1131,0.003444880402695733,0.003444880402695733
compensationRisk,Q0_EBITDA,1131,-0.05505552972104425,0.05505552972104425
shareHolderRightsRisk,Q0_TOTAL_ASSETS,1131,-0.0041141219586426974,0.0041141219586426974
shareHolderRightsRisk,Q0_TOTAL_LIABILITIES,1131,-0.0010684659098322952,0.0010684659098322952
shareHolderRightsRisk,Q0_TOTAL_STOCKHOLDERS_EQUITY,1131,0.0012417500286792012,0.0012417500286792012
shareHolderRightsRisk,Q0_GROSS_PROFIT,1131,-0.07048478849005575,0.07048478849005575
shareHolderRightsRisk,Q0_COST_OF_REVENUES,1131,-0.02282515938520166,0.02282515938520166
shareHolderRightsRisk,Q0_REVENUES,1131,-0.050091775875025515,0.050091775875025515
shareHolderRightsRisk,Q0_OPERATING_INCOME,1131,-0.06546585230933354,0.06546585230933354
shareHolderRightsRisk,Q0_OPERATING_EXPENSES,1131,-0.026121272545163332,0.026121272545163332
shareHolderRightsRisk,Q0_EBITDA,1131,-0.05953885057537357,0.05953885057537357
overallRisk,Q0_TOTAL_ASSETS,1131,-0.04610956904148066,0.04610956904148066
overallRisk,Q0_TOTAL_LIABILITIES,1131,-0.04088589886313693,0.04088589886313693
overallRisk,Q0_TOTAL_STOCKHOLDERS_EQUITY,1131,-0.029672210831184966,0.029672210831184966
overallRisk,Q0_GROSS_PROFIT,1131,-0.09089142991586023,0.09089142991586023
overallRisk,Q0_COST_OF_REVENUES,1131,-0.04310744523823357,0.04310744523823357
overallRisk,Q0_REVENUES,1131,-0.0752930930133561,0.0752930930133561
overallRisk,Q0_OPERATING_INCOME,1131,-0.09069861899659777,0.09069861899659777
overallRisk,Q0_OPERATING_EXPENSES,1131,-0.0385397952598873,0.0385397952598873
overallRisk,Q0_EBITDA,1131,-0.07162864467916759,0.07162864467916759
trailingPE,Q0_TOTAL_ASSETS,715,-0.043369011694257734,0.043369011694257734
trailingPE,Q0_TOTAL_LIABILITIES,715,-0.041694530785182614,0.041694530785182614
trailingPE,Q0_TOTAL_STOCKHOLDERS_EQUITY,715,-0.03464476849734245,0.03464476849734245
trailingPE,Q0_GROSS_PROFIT,715,-0.04119958636632007,0.04119958636632007
trailingPE,Q0_COST_OF_REVENUES,715,-0.043767852744588366,0.043767852744588366
trailingPE,Q0_REVENUES,715,-0.05099155326832664,0.05099155326832664
trailingPE,Q0_OPERATING_INCOME,715,-0.048817240805712744,0.048817240805712744
trailingPE,Q0_OPERATING_EXPENSES,715,-0.032915873992342914,0.032915873992342914
trailingPE,Q0_EBITDA,715,-0.01617341765503692,0.01617341765503692
forwardPE,Q0_TOTAL_ASSETS,1430,0.01995154478930429,0.01995154478930429
forwardPE,Q0_TOTAL_LIABILITIES,1430,0.01690319820996809,0.01690319820996809
forwardPE,Q0_TOTAL_STOCKHOLDERS_EQUITY,1430,0.020691221125420527,0.020691221125420527
forwardPE,Q0_GROSS_PROFIT,1430,0.024703761817953564,0.024703761817953564
forwardPE,Q0_COST_OF_REVENUES,1430,0.015178299807297834,0.015178299807297834
forwardPE,Q0_REVENUES,1430,0.021429208518417637,0.021429208518417637
forwardPE,Q0_OPERATING_INCOME,1430,0.032936327363188446,0.032936327363188446
forwardPE,Q0_OPERATING_EXPENSES,1430,0.01624005560592277,0.01624005560592277
forwardPE,Q0_EBITDA,1430,0.01363617279045493,0.01363617279045493
floatShares,Q0_TOTAL_ASSETS,1598,0.045627860652096834,0.045627860652096834
floatShares,Q0_TOTAL_LIABILITIES,1598,0.03983830552028915,0.03983830552028915
floatShares,Q0_TOTAL_STOCKHOLDERS_EQUITY,1598,0.045455881166170393,0.045455881166170393
floatShares,Q0_GROSS_PROFIT,1598,0.04095497665269175,0.04095497665269175
floatShares,Q0_COST_OF_REVENUES,1598,0.02800679949354901,0.02800679949354901
floatShares,Q0_REVENUES,1598,0.03907173881506832,0.03907173881506832
floatShares,Q0_OPERATING_INCOME,1598,0.046740656428073145,0.046740656428073145
floatShares,Q0_OPERATING_EXPENSES,1598,0.03533406782638383,0.03533406782638383
floatShares,Q0_EBITDA,1598,0.013598990488709647,0.013598990488709647
sharesOutstanding,Q0_TOTAL_ASSETS,1601,0.04338777958906835,0.04338777958906835
sharesOutstanding,Q0_TOTAL_LIABILITIES,1601,0.03747700579780962,0.03747700579780962
sharesOutstanding,Q0_TOTAL_STOCKHOLDERS_EQUITY,1601,0.04385262757161314,0.04385262757161314
sharesOutstanding,Q0_GROSS_PROFIT,1601,0.03817431589211158,0.03817431589211158
sharesOutstanding,Q0_COST_OF_REVENUES,1601,0.0261310765115535,0.0261310765115535
sharesOutstanding,Q0_REVENUES,1601,0.03645596789893882,0.03645596789893882
sharesOutstanding,Q0_OPERATING_INCOME,1601,0.043533194107958875,0.043533194107958875
sharesOutstanding,Q0_OPERATING_EXPENSES,1601,0.03326818897091063,0.03326818897091063
sharesOutstanding,Q0_EBITDA,1601,0.012316565540606943,0.012316565540606943
trailingEps,Q0_TOTAL_ASSETS,1577,0.007995807174883459,0.007995807174883459
trailingEps,Q0_TOTAL_LIABILITIES,1577,0.007070457316722569,0.007070457316722569
trailingEps,Q0_TOTAL_STOCKHOLDERS_EQUITY,1577,0.00921951185909285,0.00921951185909285
trailingEps,Q0_GROSS_PROFIT,1577,0.016848845887831577,0.016848845887831577
trailingEps,Q0_COST_OF_REVENUES,1577,0.009678777036993142,0.009678777036993142
trailingEps,Q0_REVENUES,1577,0.014929428487355453,0.014929428487355453
trailingEps,Q0_OPERATING_INCOME,1577,0.026624073076182447,0.026624073076182447
trailingEps,Q0_OPERATING_EXPENSES,1577,0.010379543119704132,0.010379543119704132
trailingEps,Q0_EBITDA,1577,0.010082480742458797,0.010082480742458797
forwardEps,Q0_TOTAL_ASSETS,1430,0.14163654383164107,0.14163654383164107
forwardEps,Q0_TOTAL_LIABILITIES,1430,0.13381034586262877,0.13381034586262877
