Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,314,4,1192950000.0,2361633017.3471565,1055816000.0,1820225978.157407,137134000.0,792373460.3054708,25598000.0,166213085.03519142,61899000.0,249910687.59083676,42992000.0,418312866.97387564,15222000.0,52332360.27619779,10383000.0,226000699.235584,15215000.0,35304688.56227764
1568,1318,0,1219954000.0,4120291196.254306,835046000.0,2163142629.5628414,384908000.0,1944633243.8464124,111786000.0,250121940.21778095,217796000.0,318904579.5855675,329582000.0,543468557.8508946,28908000.0,60863818.43299995,85522000.0,245764340.34435982,26264000.0,74781357.68756633
1218,1523,0,-135820000000.0,14426620947.445175,-37972000000.0,11442757069.837215,-97848000000.0,2369023391.0097303,-435000000.0,1370810476.1242387,4445000000.0,4766421214.779037,4010000000.0,3619636833.002075,-1472000000.0,133930141.96777807,219000000.0,584481447.3981624,-654000000.0,78442209.07356626
23,1421,2,83298000.0,1842173882.734726,16040000.0,1227283392.8502412,-31633000.0,450284609.950732,494000.0,137312388.63785976,3339000.0,173744441.43319827,3833000.0,274828940.62229776,-12348000.0,14707900.89669548,12842000.0,204161204.65902993,-12348000.0,66032846.15113607
783,1306,2,148546000.0,2005811711.5254588,56555000.0,1328550372.577581,91991000.0,680308484.1617012,1761000.0,141762122.95278078,-2375000.0,193536266.030604,-614000.0,293037899.5431926,-10098000.0,28149221.887777433,11859000.0,221609080.0553704,-10098000.0,66032846.15113607
1251,1292,1,7304300000.0,5671260560.128756,2451900000.0,3070350745.8257947,4830200000.0,2154996565.9923935,578200000.0,333537392.8440433,581100000.0,544991378.2722061,1159300000.0,1072201127.9287764,245200000.0,116610854.03270398,333000000.0,268580388.84891874,245200000.0,63191448.29171494
1224,1572,2,1976905000.0,2242929352.0351715,699909000.0,1653731258.328988,1276996000.0,994476396.9297377,53993000.0,238248129.97784236,315825000.0,355359426.1636069,369818000.0,420904602.2674682,-1572000.0,30113194.379959673,371390000.0,229616801.08861348,-317397000.0,66032846.15113607
1410,638,0,2097274000.0,3993519932.0832205,1132234000.0,2159297990.719454,965931000.0,1944633243.8464124,70481000.0,267709633.27596682,291052000.0,333175478.9892629,361533000.0,580928179.2096162,58709000.0,76333091.56967169,11772000.0,249465656.0131269,58709000.0,72967024.8414239
529,10,4,31183000.0,1504325213.122507,15926000.0,1211474612.8663237,15257000.0,477276155.8265395,2456000.0,134877552.33713228,2151000.0,180082088.2860042,4607000.0,227673994.22315133,-2931000.0,26676965.46240437,5387000.0,187906609.2967619,-2931000.0,32225780.4816721
730,598,0,978523000.0,3759855647.8188515,851196000.0,1836306401.9778445,-94184000.0,1944633243.8464124,24321000.0,199925076.07418394,137937000.0,247492543.47896302,162258000.0,443800735.7704272,-764000.0,45065335.49334971,25085000.0,235896935.11019254,-764000.0,67979600.82981941
1590,740,3,27253000.0,1815769938.75031,14465193.072010836,1716844387.7915304,12787806.927989164,515313267.3829353,-17000.0,139666588.39086676,17493000.0,178301169.14592117,17476000.0,244114252.16323793,1196000.0,35290267.18607751,138000.0,136274684.05276108,-155000.0,79173060.30844755
367,140,3,798398000.0,2275686450.3868656,795372000.0,1831255239.5375295,3026000.0,789708002.8774934,37121000.0,218605790.8329128,256160000.0,288516347.8520373,293281000.0,424895062.9450526,10257000.0,42627421.78472001,26864000.0,160586573.7736253,10257000.0,74463313.56421714
636,741,2,1059052000.0,2419587049.4677444,883921000.0,1455674798.641618,175131000.0,785531378.9998728,91945000.0,243545325.8644617,202788000.0,365510019.05356455,235132000.0,529462470.9218003,-287000.0,32961105.065105803,84957000.0,243810173.42771852,6988000.0,66032846.15113607
1270,1352,1,11069000000.0,6760498016.299138,5919000000.0,3181938955.378592,5105000000.0,2528063629.1552916,727000000.0,476180528.19459194,1752000000.0,1207389041.8005595,2479000000.0,1874269770.6577835,462000000.0,115728510.8882831,265000000.0,306043095.7511276,462000000.0,64002468.763619564
102,263,0,12331000.0,3350840589.234333,10875000.0,1167544114.780716,1456000.0,1869906116.298963,1472000.0,165027447.1687652,1968000.0,140749814.35268104,3440000.0,234155505.8474599,-4166000.0,40007747.18249291,5638000.0,226273385.5451395,-4166000.0,64442591.565536276
1658,1092,1,180372000.0,1871979560.1411905,121221000.0,1627605545.6177347,30642000.0,598047872.5663328,18014000.0,246708338.23614317,31653000.0,187026358.78142148,49667000.0,298038927.197014,-11599000.0,57782623.14865111,29613000.0,234022176.8345458,-11599000.0,59602404.836649925
6,33,0,2319806000.0,4349509269.3873415,1534495000.0,2322242810.1591883,785311000.0,1944633243.8464124,376397000.0,316909371.72025347,415254000.0,364043854.11506116,791651000.0,631835660.5371883,93430000.0,64718642.85791752,288680000.0,255674027.60274714,87717000.0,74119572.22791198
1147,1055,3,19295025.0,1747169754.668067,28370931.0,1645860313.5537853,-13369686.0,490661280.5292163,2067435.0,150385053.95217603,4847499.0,163158728.08784765,6914934.0,220673366.48949635,-1108124.0,34821755.21322722,3175559.0,144907329.03839976,-1108124.0,76626103.3642689
114,1011,2,3549408000.0,3816224207.0720897,2109262000.0,2144629101.1669385,1440146000.0,1309531703.0580745,264579000.0,275322194.7918706,494402000.0,486536537.87735367,758981000.0,761576740.3780735,58594000.0,51612617.42105175,205985000.0,260203081.7515106,58594000.0,66685543.11372143
139,1334,4,331401784.0,1804252948.5535846,56254670.0,1409454645.4359386,275147114.0,576445119.3845909,17982150.0,161992283.7026374,0.0,194701605.14357543,17982150.0,273807847.0047159,-40215832.0,32006920.522273853,58197982.0,234298259.6138146,-40215832.0,42138226.302956186
411,814,4,5533000.0,1398171264.7481308,4648000.0,1295123744.5503962,885000.0,443849468.44074273,-1669000.0,135872492.59976596,2438000.0,183023702.87007242,769000.0,222556111.87081838,-6339000.0,17201000.989630997,4670000.0,186858678.9564639,-6339000.0,28736091.412464917
681,761,2,36550000000.0,22323430537.54981,16943241279.095451,11099542001.338585,15250000000.0,6243767093.055097,577000000.0,632192285.3970782,3467000000.0,1280684101.5557566,4044000000.0,2917876214.603022,714000000.0,272150360.75183463,627000000.0,433378026.067582,-50000000.0,66032846.15113607
